approx_price_EUR,OS,weight_g,weight_oz,GPS_new,primary_cam_MP,secondary_cam_MP,GPU_new,battery_mah,battery_removable,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,brand_idx,price_Range
60.0,0,83.0,2.93,False,0.0,0.0,0,750.0,True,1.8,25.1,89.0,45.7,2,100
420.0,1,167.5,5.93,True,0.0,13.0,3,3000.0,False,5.5,70.8,154.2,76.4,3,450
450.0,1,144.0,5.08,True,16.0,8.0,3,3000.0,False,5.5,72.2,154.3,74.9,3,450
420.0,1,209.8,7.37,True,13.0,5.0,3,5020.0,False,6.0,76.0,160.9,81.2,3,450
300.0,1,147.6,5.22,True,13.0,5.0,3,3150.0,False,5.5,73.6,151.9,74.6,3,300
200.0,1,128.0,4.52,True,13.0,5.0,3,2350.0,False,5.0,68.0,142.4,71.2,3,200
180.0,1,128.0,4.52,True,13.0,5.0,3,2350.0,False,5.0,68.0,142.4,71.2,3,200
160.0,1,137.0,4.83,True,8.0,5.0,3,2400.0,True,5.0,68.6,143.0,70.3,3,200
300.0,1,155.3,5.47,True,13.0,5.0,3,3150.0,True,5.5,70.3,154.0,77.0,3,300
250.0,1,155.3,5.47,True,13.0,5.0,3,3150.0,True,5.5,70.3,154.0,77.0,3,250
200.0,1,143.0,5.04,True,8.0,5.0,3,2000.0,True,4.7,66.2,137.2,67.0,3,200
120.0,1,153.0,5.4,True,5.0,2.0,3,2000.0,True,5.0,66.8,143.3,72.0,3,150
170.0,1,200.0,7.05,True,8.0,5.0,3,4000.0,True,5.0,66.8,143.3,72.0,3,200
130.0,1,118.5,4.2,True,5.0,0.0,3,1700.0,True,4.5,60.7,136.0,67.6,3,150
100.0,1,154.0,5.43,True,8.0,5.0,3,3140.0,False,5.0,65.6,144.0,73.0,3,100
300.0,1,212.0,7.48,True,13.0,5.0,3,6000.0,False,5.5,72.2,152.0,76.0,3,300
140.0,1,156.5,5.54,True,5.0,2.0,3,4000.0,True,4.5,62.8,134.2,66.2,3,150
240.0,1,130.0,4.59,True,13.0,5.0,3,2100.0,True,5.0,69.8,140.7,70.2,3,250
140.0,1,135.5,4.8,True,8.0,2.0,3,1850.0,True,4.5,63.6,133.3,65.8,3,150
